mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.007804775238037109,0.0007550993900120247,0.002787160873413086,0.0004098657503237878,0.01,3,"{'model__alpha': 0.01, 'pca__n_components': 3}",-0.8932546860793357,-0.4700875313553045,-0.6490118054705034,-0.4340490545128973,-1.213013051789887,-0.7318832258415856,0.2903916352697604,30
0.006780481338500977,0.0003993403903032187,0.0023995399475097655,0.0004840944580841681,0.01,5,"{'model__alpha': 0.01, 'pca__n_components': 5}",-0.6561438042832812,-0.6154902093123343,-0.4047333074003534,-0.47707370196773197,-0.756264679753903,-0.5819411405435208,0.12603179554771698,17
0.006575393676757813,0.0004742896791025352,0.002598428726196289,0.00048312418925135594,0.01,8,"{'model__alpha': 0.01, 'pca__n_components': 8}",-0.5347429197854379,-0.40055071914524826,-0.5659981239736475,-0.7174866384806898,-0.7673563235930237,-0.5972269449956095,0.13188436588367644,23
0.006577777862548828,0.00048464299728481503,0.002386951446533203,0.00048220183498625535,0.01,10,"{'model__alpha': 0.01, 'pca__n_components': 10}",-0.3887715436893221,-0.45759127376542724,-0.3995502080851001,-0.6450739913978811,-0.38834004163706054,-0.4558654117149582,0.09801584577619799,11
0.007180929183959961,0.000398635921295746,0.002592611312866211,0.0004887544445739478,0.01,15,"{'model__alpha': 0.01, 'pca__n_components': 15}",-0.30741354294662004,-0.2987727220802781,-0.3119794042901166,-0.39605156515247275,-0.3466808288578052,-0.33217961266545853,0.03585341978628091,1
0.007579803466796875,0.0010170278760415787,0.0033908367156982424,0.0004891621013078822,0.01,20,"{'model__alpha': 0.01, 'pca__n_components': 20}",-0.305913297705545,-0.350809178729474,-0.38720235141637915,-0.409239725601217,-0.4326211399582077,-0.37715713868216455,0.044668454172074386,6
0.008577871322631835,0.0007979513937698355,0.0031911849975585936,0.0003984219830602634,0.1,3,"{'model__alpha': 0.1, 'pca__n_components': 3}",-0.8932537587162446,-0.4699260444343311,-0.6489616031808796,-0.43368541011482836,-1.2130291738809258,-0.7317711980654419,0.2905034619909169,29
0.006781816482543945,0.0007462892887712321,0.002991914749145508,0.0006312039372826199,0.1,5,"{'model__alpha': 0.1, 'pca__n_components': 5}",-0.6563548649843909,-0.6151591354942433,-0.4046161936119476,-0.4767548608597092,-0.7566438933280355,-0.5819057896556653,0.1262300862661316,16
0.005784368515014649,0.0007459961913023697,0.002593231201171875,0.0004886753756621107,0.1,8,"{'model__alpha': 0.1, 'pca__n_components': 8}",-0.535235118208317,-0.400775748775213,-0.5652904722589119,-0.716280818745823,-0.7675247461768879,-0.5970213808330305,0.13162898771524267,22
0.0057847023010253905,0.00039908941148555346,0.0023935794830322265,0.0004891229430716823,0.1,10,"{'model__alpha': 0.1, 'pca__n_components': 10}",-0.38870152095476557,-0.45763110294778053,-0.39893686202380835,-0.6435822753820245,-0.38868056933408524,-0.45550646612849277,0.09747383792442663,10
0.0067825794219970705,0.0003969921900186965,0.0025923728942871095,0.000487683589809548,0.1,15,"{'model__alpha': 0.1, 'pca__n_components': 15}",-0.3062991296060189,-0.2986834833816132,-0.31126995243231687,-0.39767399749936255,-0.34738662106611345,-0.332262636797085,0.03674163049101766,2
0.005991411209106445,0.0008936745266330606,0.0023978233337402345,0.0004970344867096117,0.1,20,"{'model__alpha': 0.1, 'pca__n_components': 20}",-0.30342440862733894,-0.3405419251110499,-0.3777979189434413,-0.40636117818808826,-0.4194162927510277,-0.36950834472418925,0.042717190278764895,5
0.006981897354125977,0.0006326857981952985,0.0027869701385498046,0.00039575704856311224,1.0,3,"{'model__alpha': 1.0, 'pca__n_components': 3}",-0.8932505465380823,-0.46832932534984956,-0.6484646700244705,-0.4300970073489195,-1.2131894031921975,-0.730666190490704,0.29160997179812714,28
0.0063895702362060545,0.0004969708498716789,0.002586984634399414,0.00048341535209163157,1.0,5,"{'model__alpha': 1.0, 'pca__n_components': 5}",-0.6584613657358399,-0.611876830749645,-0.40349292810576565,-0.47361961999224167,-0.7604076005710516,-0.5815716690309088,0.12820171727175633,14
0.006582307815551758,0.00047523250948931144,0.002991390228271484,2.8014091735041726e-05,1.0,8,"{'model__alpha': 1.0, 'pca__n_components': 8}",-0.5401149636451087,-0.402931587182916,-0.5583777103382545,-0.7045704331215786,-0.7692783560831409,-0.5950546100741997,0.1293231957693682,21
0.0065896034240722655,0.0004949256716187207,0.00259246826171875,0.00048824787491490883,1.0,10,"{'model__alpha': 1.0, 'pca__n_components': 10}",-0.38917423472470813,-0.4580641814659222,-0.39388474436350285,-0.6294812859558745,-0.39368902778945697,-0.4528586948598929,0.09193184821089011,9
0.006391191482543945,0.0010194339689228856,0.002788209915161133,0.00039161973056087883,1.0,15,"{'model__alpha': 1.0, 'pca__n_components': 15}",-0.30006141724696167,-0.29953457321255156,-0.30685112405477166,-0.4130510158421755,-0.35612878963064065,-0.3351253839974202,0.04429259192800526,3
0.00618438720703125,0.0009771790202142377,0.002597808837890625,0.00048304008941611005,1.0,20,"{'model__alpha': 1.0, 'pca__n_components': 20}",-0.29159562321073224,-0.2899034496069518,-0.3266238784408622,-0.4007959572094786,-0.3690869374658431,-0.33560116918677363,0.043536234249523964,4
0.006182479858398438,0.0004001810048306843,0.0026051998138427734,0.00048729806407547447,10.0,3,"{'model__alpha': 10.0, 'pca__n_components': 3}",-0.8937773609603964,-0.45414690763149085,-0.6439732910411977,-0.3987281403220669,-1.214705747921493,-0.721066289575329,0.30152950050021793,27
0.006576681137084961,0.0004844423019542251,0.0021895885467529295,0.0003870208015114257,10.0,5,"{'model__alpha': 10.0, 'pca__n_components': 5}",-0.6789653383156439,-0.5817781198350477,-0.3963483180387643,-0.4471029879764703,-0.7953745047149446,-0.5799138537761742,0.14667855750954126,13
0.006970596313476562,0.0006516480295782177,0.002803516387939453,0.00040543861081585513,10.0,8,"{'model__alpha': 10.0, 'pca__n_components': 8}",-0.5837992222462682,-0.4166221298928436,-0.5035692587705746,-0.6134922111102983,-0.7911094505794846,-0.5817184545198938,0.12507804254516514,15
0.006781530380249023,0.0003992108312129405,0.0025994300842285155,0.0004954881289517215,10.0,10,"{'model__alpha': 10.0, 'pca__n_components': 10}",-0.4410685452416549,-0.46186800043317083,-0.38492330357804744,-0.5371694090079191,-0.4957723060137661,-0.4641603128549117,0.051276962272427826,12
0.0063836097717285155,0.00047544857498356624,0.002387380599975586,0.0004934421089440478,10.0,15,"{'model__alpha': 10.0, 'pca__n_components': 15}",-0.38081617265398504,-0.34677010147019166,-0.32757540084794834,-0.4474601369454159,-0.4790093793843491,-0.396326238260378,0.05809342113260478,8
0.006376218795776367,0.0004928904595610878,0.0025990486145019533,0.0004943033774296376,10.0,20,"{'model__alpha': 10.0, 'pca__n_components': 20}",-0.37590158963457415,-0.32285871761916685,-0.3175758761966094,-0.43593521923929,-0.47543997825769685,-0.38554227618946746,0.06206874966784168,7
0.006790781021118164,0.00040094431026952695,0.0029706478118896483,1.130154363100374e-05,100.0,3,"{'model__alpha': 100.0, 'pca__n_components': 3}",-0.927118069397251,-0.4522812638430111,-0.6282636918442157,-0.34527335736979414,-1.2282377089699685,-0.716234818284848,0.3229989192376968,26
0.005590677261352539,0.0004804493225741974,0.0023946285247802733,0.000489809983793299,100.0,5,"{'model__alpha': 100.0, 'pca__n_components': 5}",-0.8215314177833684,-0.4792212609127438,-0.4463841546872061,-0.41427115135308,-0.9934116933939195,-0.6309639356260636,0.23312470481838163,25
0.006385612487792969,0.00048092116936090625,0.002590513229370117,0.00048716337513332467,100.0,8,"{'model__alpha': 100.0, 'pca__n_components': 8}",-0.790143215258578,-0.4421181653446038,-0.444606881940171,-0.4189136927485655,-0.9791636219174678,-0.6149891154418772,0.2283252382520441,24
0.006382894515991211,0.0007976532552528452,0.0025928974151611327,0.0004886944566570865,100.0,10,"{'model__alpha': 100.0, 'pca__n_components': 10}",-0.7494389339480957,-0.46793152026504103,-0.442371624314855,-0.39862325403878485,-0.914830377588638,-0.5946391420310829,0.2020632819766627,20
0.005385971069335938,0.0004884415648333926,0.002194118499755859,0.00039937539952046753,100.0,15,"{'model__alpha': 100.0, 'pca__n_components': 15}",-0.7432940896100425,-0.4535810802070165,-0.43238246023206217,-0.39601055074567226,-0.9109240221599276,-0.5872384405909442,0.20373438187935194,19
0.00559382438659668,0.0008038848352542112,0.002391338348388672,0.0004859060018988362,100.0,20,"{'model__alpha': 100.0, 'pca__n_components': 20}",-0.7425835048796858,-0.44963818170081216,-0.4321365065642731,-0.39565255329174764,-0.9105917774211009,-0.586120504771524,0.20414642486864862,18
